src,dst,num_paths,paths
4,7,8,"[[4, 7], [4, 5, 7], [4, 9, 7], [4, 5, 8, 7], [4, 1, 5, 7], [4, 2, 5, 7], [4, 1, 9, 7], [4, 6, 5, 7]]"
4,8,8,"[[4, 5, 8], [4, 7, 8], [4, 5, 7, 8], [4, 1, 5, 8], [4, 7, 5, 8], [4, 2, 5, 8], [4, 6, 5, 8], [4, 9, 7, 8]]"
4,9,8,"[[4, 9], [4, 1, 9], [4, 7, 9], [4, 11, 1, 9], [4, 5, 1, 9], [4, 5, 7, 9], [4, 1, 5, 7, 9], [4, 7, 5, 1, 9]]"
4,10,8,"[[4, 9, 10], [4, 1, 9, 10], [4, 7, 9, 10], [4, 11, 1, 9, 10], [4, 5, 1, 9, 10], [4, 5, 7, 9, 10], [4, 1, 5, 7, 9, 10], [4, 7, 5, 1, 9, 10]]"
4,11,8,"[[4, 11], [4, 1, 11], [4, 9, 1, 11], [4, 5, 1, 11], [4, 2, 5, 1, 11], [4, 7, 5, 1, 11], [4, 6, 5, 1, 11], [4, 7, 9, 1, 11]]"
4,12,8,"[[4, 9, 13, 12], [4, 1, 9, 13, 12], [4, 7, 9, 13, 12], [4, 5, 8, 14, 12], [4, 7, 8, 14, 12], [4, 9, 7, 8, 14, 12], [4, 1, 5, 8, 14, 12], [4, 2, 5, 8, 14, 12]]"
4,13,8,"[[4, 9, 13], [4, 1, 9, 13], [4, 7, 9, 13], [4, 11, 1, 9, 13], [4, 5, 1, 9, 13], [4, 5, 7, 9, 13], [4, 1, 5, 7, 9, 13], [4, 7, 5, 1, 9, 13]]"
4,14,8,"[[4, 5, 8, 14], [4, 7, 8, 14], [4, 5, 7, 8, 14], [4, 1, 5, 8, 14], [4, 7, 5, 8, 14], [4, 2, 5, 8, 14], [4, 6, 5, 8, 14], [4, 9, 7, 8, 14]]"
5,6,8,"[[5, 6], [5, 2, 6], [5, 4, 6], [5, 2, 4, 6], [5, 1, 4, 6], [5, 4, 2, 6], [5, 7, 4, 6], [5, 1, 11, 4, 6]]"
5,7,8,"[[5, 7], [5, 4, 7], [5, 8, 7], [5, 4, 9, 7], [5, 1, 9, 7], [5, 2, 4, 7], [5, 1, 4, 7], [5, 6, 4, 7]]"
